biomarker,low,high,unit,source
Abeta38 (aβ38),10.0,50.0,pg/mL,synthetic_placeholder
Abeta40 (aβ40),150.0,350.0,pg/mL,synthetic_placeholder
Abeta42 (aβ42),10.0,35.0,pg/mL,synthetic_placeholder
ACHE,0.7,1.3,NPQ,synthetic_placeholder
APOE,0.7,1.3,NPQ,synthetic_placeholder
APOE4,0.7,1.3,NPQ,synthetic_placeholder
BACE1,0.7,1.3,NPQ,synthetic_placeholder
BASP1,0.7,1.3,NPQ,synthetic_placeholder
CD63,0.7,1.3,NPQ,synthetic_placeholder
CST3,0.7,1.3,NPQ,synthetic_placeholder
IGFBP7,0.7,1.3,NPQ,synthetic_placeholder
KLK6,0.7,1.3,NPQ,synthetic_placeholder
PSEN1,0.7,1.3,NPQ,synthetic_placeholder
SFRP1,0.7,1.3,NPQ,synthetic_placeholder
pTau181,0.0,6.0,pg/mL,synthetic_placeholder
pTau181-BD,0.0,6.0,pg/mL,synthetic_placeholder
pTau217,0.0,6.0,pg/mL,synthetic_placeholder
pTau217-BD,0.0,6.0,pg/mL,synthetic_placeholder
pTau231,0.0,6.0,pg/mL,synthetic_placeholder
pTau231-BD,0.0,6.0,pg/mL,synthetic_placeholder
totalTau,0.0,20.0,pg/mL,synthetic_placeholder
totalTau-BD,0.0,20.0,pg/mL,synthetic_placeholder
AGRN,0.7,1.3,NPQ,synthetic_placeholder
ARSA,0.7,1.3,NPQ,synthetic_placeholder
BDNF,0.7,1.3,NPQ,synthetic_placeholder
DDC,0.7,1.3,NPQ,synthetic_placeholder
FABP3,0.7,1.3,NPQ,synthetic_placeholder
FOLR1,0.7,1.3,NPQ,synthetic_placeholder
HTT,0.7,1.3,NPQ,synthetic_placeholder
IL6R (IL6Ra),0.7,1.3,NPQ,synthetic_placeholder
MDH1,0.7,1.3,NPQ,synthetic_placeholder
NGF,0.7,1.3,NPQ,synthetic_placeholder
Oligo-SNCA (Oligo-α-Syn),0.7,1.3,NPQ,synthetic_placeholder
PARK7,0.7,1.3,NPQ,synthetic_placeholder
pSNCA-129,0.7,1.3,NPQ,synthetic_placeholder
SNCA (α-Syn),0.7,1.3,NPQ,synthetic_placeholder
SNCB (β-Syn),0.7,1.3,NPQ,synthetic_placeholder
SOD1,0.7,1.3,NPQ,synthetic_placeholder
TDP43,0.7,1.3,NPQ,synthetic_placeholder
pTDP43-409,0.7,1.3,NPQ,synthetic_placeholder
UCHL1,0.7,1.3,NPQ,synthetic_placeholder
VGF,0.7,1.3,NPQ,synthetic_placeholder
VSNL1 (VILIP-1),0.7,1.3,NPQ,synthetic_placeholder
FLT1 (VEGF R1),0.7,1.3,NPQ,synthetic_placeholder
HBA1,0.7,1.3,NPQ,synthetic_placeholder
HBA2,0.7,1.3,NPQ,synthetic_placeholder
KDR (VEGF R2),0.7,1.3,NPQ,synthetic_placeholder
MME,0.7,1.3,NPQ,synthetic_placeholder
PDGFRB,0.7,1.3,NPQ,synthetic_placeholder
PGF (PLGF),0.7,1.3,NPQ,synthetic_placeholder
PGK1,0.7,1.3,NPQ,synthetic_placeholder
POSTN,0.7,1.3,NPQ,synthetic_placeholder
PTN,0.7,1.3,NPQ,synthetic_placeholder
SAA1,0.7,1.3,NPQ,synthetic_placeholder
VEGF-A,0.7,1.3,NPQ,synthetic_placeholder
VEGF-D,0.7,1.3,NPQ,synthetic_placeholder
ANXA5,0.7,1.3,NPQ,synthetic_placeholder
